Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,37,43,10
1,22,49,2160
2,0,0,1
3,12,17,12
4,7,12,4
5,51,79,412
6,9,26,165
7,8,8,1
8,27,44,108
9,11,20,24
10,6,6,1
11,21,38,108
12,NA,NA,NA
13,5,14,15
14,16,24,8
15,28,51,540
16,18,25,14
17,6,7,2
18,13,25,33
19,15,25,14
20,5,5,1
21,NA,NA,NA
22,4,4,1
23,22,34,112
24,11,15,6
25,14,26,72
26,38,46,22
27,3,3,1
28,NA,NA,NA
29,7,7,1
30,17,41,456
31,34,66,1600
32,19,28,42
33,16,48,847
34,57,74,48
35,5,5,1
36,17,30,45
37,11,14,2
38,26,38,32
39,NA,NA,NA
40,14,18,5
41,30,53,1056
42,8,9,2
43,13,20,13
44,18,30,40
45,NA,NA,NA
46,23,49,369
47,16,49,66
48,5,9,4
49,81,102,1296
50,26,67,11880
51,14,16,2
52,25,40,324
53,9,12,2
54,22,39,160
55,29,42,6
56,8,39,174
57,NA,NA,NA
58,38,77,2560
59,11,18,4
60,12,35,350
61,8,15,15
62,19,29,10
63,NA,NA,NA
64,29,43,336
65,0,0,1
66,22,57,7344
67,8,10,2
68,7,13,5
69,9,12,3
70,2,8,4
71,11,11,1
72,33,38,4
73,29,62,1800
74,NA,NA,NA
75,19,22,4
76,9,16,9
77,38,74,5700
78,9,9,1
79,29,37,16
80,19,19,1
81,13,25,9
82,22,67,9520
83,14,31,110
84,17,69,1508
85,26,53,207
86,17,28,16
87,28,32,8
88,8,10,2
89,16,27,27
90,30,53,616
91,5,7,2
92,24,47,182
93,9,13,4
94,16,46,472
95,5,9,5
96,NA,NA,NA
97,22,35,96
98,16,40,128
99,19,34,216
